video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
lol_1920x1080_25.yuv,v205_avc_cutoff_0B/lol_1920x1080_25_1M.264,30.36520,0.92055
lol_1920x1080_25.yuv,v205_avc_cutoff_0B/lol_1920x1080_25_2M.264,34.73859,0.95832
lol_1920x1080_25.yuv,v205_avc_cutoff_0B/lol_1920x1080_25_3M.264,39.25024,0.97837
lol_1920x1080_25.yuv,v205_avc_cutoff_0B/lol_1920x1080_25_4M.264,41.67436,0.98424
lol_1920x1080_25.yuv,v205_avc_cutoff_0B/lol_1920x1080_25_5M.264,43.34797,0.98733
lol_1920x1080_25.yuv,v205_avc_cutoff_3B/lol_1920x1080_25_1M.264,30.25663,0.91795
lol_1920x1080_25.yuv,v205_avc_cutoff_3B/lol_1920x1080_25_2M.264,33.82857,0.95140
lol_1920x1080_25.yuv,v205_avc_cutoff_3B/lol_1920x1080_25_3M.264,38.04421,0.97334
lol_1920x1080_25.yuv,v205_avc_cutoff_3B/lol_1920x1080_25_4M.264,40.22659,0.98056
lol_1920x1080_25.yuv,v205_avc_cutoff_3B/lol_1920x1080_25_5M.264,41.35758,0.98326
lol_1920x1080_25.yuv,v205_avc_cuton_0B/lol_1920x1080_25_1M.264,33.42700,0.94715
lol_1920x1080_25.yuv,v205_avc_cuton_0B/lol_1920x1080_25_2M.264,36.95238,0.96929
lol_1920x1080_25.yuv,v205_avc_cuton_0B/lol_1920x1080_25_3M.264,39.71339,0.97957
lol_1920x1080_25.yuv,v205_avc_cuton_0B/lol_1920x1080_25_4M.264,41.86607,0.98476
lol_1920x1080_25.yuv,v205_avc_cuton_0B/lol_1920x1080_25_5M.264,43.17284,0.98713
lol_1920x1080_25.yuv,v205_avc_cuton_3B/lol_1920x1080_25_1M.264,31.26394,0.92818
lol_1920x1080_25.yuv,v205_avc_cuton_3B/lol_1920x1080_25_2M.264,34.49096,0.95604
lol_1920x1080_25.yuv,v205_avc_cuton_3B/lol_1920x1080_25_3M.264,38.18925,0.97384
lol_1920x1080_25.yuv,v205_avc_cuton_3B/lol_1920x1080_25_4M.264,40.22659,0.98056
lol_1920x1080_25.yuv,v205_avc_cuton_3B/lol_1920x1080_25_5M.264,41.35758,0.98326
lol_1920x1080_25.yuv,x264/lol_1920x1080_25_1M.264,32.51498,0.94152
lol_1920x1080_25.yuv,x264/lol_1920x1080_25_2M.264,38.72142,0.97814
lol_1920x1080_25.yuv,x264/lol_1920x1080_25_3M.264,42.05072,0.98643
lol_1920x1080_25.yuv,x264/lol_1920x1080_25_4M.264,44.12945,0.98952
lol_1920x1080_25.yuv,x264/lol_1920x1080_25_5M.264,45.54634,0.99113
